scenario_id,label_detection,label_pipe,group,P2_mae,P2_rmse,P2_r2,P3_mae,P3_rmse,P3_r2,P5_mae,P5_rmse,P5_r2,P6_mae,P6_rmse,P6_r2,Q2a_mae,Q2a_rmse,Q2a_r2,Q4a_mae,Q4a_rmse,Q4a_r2,Q5a_mae,Q5a_rmse,Q5a_r2
scenario_00065,1,1,pipe-1,0.049798,0.060987,-8.993023,0.005615,0.011721,0.990278,0.088954,0.168589,0.513066,0.090064,0.169835,0.549875,4.7e-05,5.4e-05,0.602224,1.8e-05,3.3e-05,-6288.794922,1.8e-05,3.4e-05,-2.362528
scenario_00063,1,1,pipe-1,0.019569,0.023967,-14.102047,0.001682,0.00332,0.771825,0.017374,0.023964,0.423557,0.014747,0.021347,-2.403844,1.6e-05,2e-05,-17.251841,4e-06,5e-06,-0.133788,3e-06,4e-06,0.0
scenario_00064,1,1,pipe-1,0.020117,0.024646,0.981402,0.041803,0.068931,0.992259,0.692929,1.067343,0.441409,0.978909,1.554109,0.808019,3.2e-05,4.7e-05,0.989572,0.000129,0.000195,-14.509105,0.000157,0.000236,0.492133
scenario_00066,1,1,pipe-1,0.052724,0.064587,-0.421453,0.012228,0.017792,0.995282,0.48402,0.636892,0.554522,0.294487,0.348014,0.357235,3.6e-05,4.3e-05,0.9327,9.4e-05,0.000121,-0.191874,5.9e-05,7e-05,-13.747861
scenario_00067,1,1,pipe-1,0.051884,0.063555,-1.101679,0.013078,0.018867,0.989659,0.427554,0.550069,0.616096,0.305218,0.365393,0.173575,3.8e-05,4.5e-05,0.856871,8.4e-05,0.000106,-0.042266,6.2e-05,7.3e-05,-4.634413
scenario_00069,1,1,pipe-1,0.0497,0.060871,-26.971695,0.001877,0.003469,0.966026,0.011558,0.017734,0.780755,0.015039,0.023666,-0.132117,4.3e-05,5.2e-05,-13.127277,3e-06,4e-06,0.237527,3e-06,5e-06,0.0
scenario_00068,1,1,pipe-1,0.055009,0.067438,0.604033,0.024525,0.041323,0.992335,0.430732,0.531838,0.712378,0.301586,0.347859,0.794649,3.3e-05,4.3e-05,0.978572,8.4e-05,0.000104,0.150617,6.2e-05,7.1e-05,-0.600213
scenario_00070,1,1,pipe-1,0.051679,0.063294,0.951112,0.101838,0.182084,0.98423,0.557614,0.916836,0.825856,0.792289,1.452929,0.874457,0.000101,0.000134,0.972504,8.8e-05,0.000146,-40.34037,0.000135,0.000235,0.493538
scenario_00071,1,1,pipe-1,0.049723,0.060898,-40.444736,0.001895,0.003466,0.883465,0.013837,0.015651,0.00722,0.01637,0.022872,-3.031415,4.3e-05,5.2e-05,-1447.958618,3e-06,3e-06,-4.566027,3e-06,4e-06,0.0
scenario_00072,1,1,pipe-1,0.05202,0.063725,-0.864533,0.002203,0.003679,0.999382,0.141234,0.177956,0.79068,0.220071,0.256931,0.312883,4.5e-05,5.4e-05,0.631012,3e-05,3.7e-05,0.015981,4.6e-05,5.4e-05,-3.898205
scenario_00073,1,1,pipe-1,0.049724,0.060899,-23.375629,0.001886,0.003325,0.98892,0.020936,0.037002,0.479126,0.02597,0.047922,0.843988,4.2e-05,5.2e-05,-6.82808,4e-06,8e-06,0.0,5e-06,1e-05,0.562652
scenario_00075,1,1,pipe-1,0.049732,0.06091,-24.579237,0.002103,0.0037,0.944509,0.0147,0.018449,0.092148,0.016781,0.021971,0.692445,4.2e-05,5.2e-05,-159.466766,3e-06,4e-06,-55.85297,3e-06,4e-06,-0.034261
scenario_00074,1,1,pipe-1,0.05198,0.06379,0.696205,0.019374,0.040821,0.992258,0.19826,0.247267,0.883807,0.217147,0.24443,0.771395,4.3e-05,4.9e-05,0.969804,3.9e-05,5e-05,0.001432,4.2e-05,4.9e-05,-1.738826
scenario_00076,1,1,pipe-1,0.054654,0.067055,0.768451,0.027279,0.039681,0.996034,0.858038,1.493226,0.694028,0.555583,0.772516,0.596563,2.3e-05,3.2e-05,0.992788,0.000142,0.000233,0.370179,0.000106,0.000146,-3.547175
scenario_00077,1,1,pipe-1,0.049682,0.060848,-32.774338,0.001849,0.003377,0.866744,0.017216,0.023942,0.327194,0.014916,0.021381,-2.534379,4.3e-05,5.2e-05,-129.065506,4e-06,5e-06,-0.133808,3e-06,4e-06,0.0
scenario_00078,1,1,pipe-1,0.051044,0.062546,0.874487,0.041833,0.068996,0.992161,0.693034,1.0674,0.438201,0.97885,1.554082,0.807543,4.7e-05,5.9e-05,0.98351,0.000129,0.000195,-14.508989,0.000157,0.000236,0.492131
scenario_00080,1,1,pipe-1,0.09788,0.119951,-3.041108,0.021499,0.036356,0.98103,0.443961,0.618911,0.583346,0.334544,0.409833,0.129376,6.5e-05,8e-05,0.766201,9.1e-05,0.000118,-0.148174,6.3e-05,7.4e-05,-15.560913
scenario_00079,1,1,pipe-1,0.09144,0.111988,-43.789642,0.006054,0.01184,0.989416,0.088978,0.16861,0.496842,0.090413,0.169832,0.540245,8.4e-05,9.9e-05,-0.340955,1.8e-05,3.3e-05,-6288.839355,1.8e-05,3.4e-05,-2.362504
scenario_00081,1,1,pipe-1,0.095169,0.116577,-4.764119,0.013596,0.018919,0.990072,0.426983,0.54935,0.620557,0.305735,0.365825,0.182434,7.4e-05,8.8e-05,0.447134,8.4e-05,0.000106,-0.042245,6.2e-05,7.3e-05,-4.634548
scenario_00082,1,1,pipe-1,0.100784,0.123554,-0.208455,0.024853,0.042375,0.992053,0.430373,0.531405,0.712969,0.302006,0.348209,0.796208,6.8e-05,8.4e-05,0.916351,8.4e-05,0.000104,0.150622,6.2e-05,7.1e-05,-0.600249
scenario_00083,1,1,pipe-1,0.091273,0.111788,-40.700966,0.002256,0.003817,0.961132,0.011266,0.017695,0.800186,0.015412,0.023726,-0.040895,8e-05,9.8e-05,-48.542599,3e-06,4e-06,0.237792,3e-06,5e-06,0.0
scenario_00084,1,1,pipe-1,0.094804,0.116117,0.828206,0.10274,0.182569,0.98401,0.558509,0.917007,0.824774,0.793196,1.453048,0.874027,0.000135,0.000155,0.962847,8.8e-05,0.000146,-40.340359,0.000135,0.000235,0.493538
scenario_00085,1,1,pipe-1,0.091316,0.111838,-47.819206,0.002434,0.004182,0.936764,0.013387,0.015533,0.47291,0.0169,0.023187,-0.703889,8e-05,9.8e-05,-5068.528809,3e-06,3e-06,-4.566598,3e-06,4e-06,0.0
scenario_00086,1,1,pipe-1,0.095423,0.116897,-5.144242,0.002717,0.004437,0.999094,0.141691,0.178244,0.785958,0.220551,0.257496,0.301551,8.2e-05,9.9e-05,-0.259783,3e-05,3.7e-05,0.015983,4.6e-05,5.4e-05,-3.898195
scenario_00087,1,1,pipe-1,0.091308,0.11183,-32.743454,0.002436,0.004059,0.98776,0.021375,0.037037,0.556709,0.026583,0.04812,0.850824,7.9e-05,9.7e-05,-26.371365,4e-06,8e-06,0.0,5e-06,1e-05,0.56263
scenario_00088,1,1,pipe-1,0.099895,0.118055,-0.052653,0.037006,0.076393,0.97268,0.279622,0.309659,0.817556,0.196382,0.252479,0.754331,8e-05,9.6e-05,0.884811,6.3e-05,6.7e-05,-0.774335,3.6e-05,4.7e-05,-1.450262
scenario_00089,1,1,pipe-1,0.091319,0.111843,-33.885056,0.002701,0.004781,0.952783,0.014129,0.018354,0.459749,0.017388,0.022335,0.74368,7.9e-05,9.7e-05,-562.079529,3e-06,4e-06,-55.872166,3e-06,4e-06,-0.034382
scenario_00090,1,1,pipe-1,0.100158,0.122876,0.282443,0.027787,0.040095,0.996019,0.857727,1.492602,0.69535,0.555894,0.773041,0.599393,5.8e-05,7.2e-05,0.963848,0.000142,0.000233,0.370173,0.000106,0.000146,-3.547104
scenario_00092,1,1,pipe-1,0.093676,0.114788,0.548848,0.042339,0.069505,0.991926,0.693295,1.067712,0.433492,0.978643,1.553926,0.806914,8.2e-05,9.3e-05,0.958887,0.000129,0.000195,-14.509057,0.000157,0.000236,0.492132
scenario_00091,1,1,pipe-1,0.091234,0.111739,-40.420486,0.002366,0.00409,0.927299,0.017177,0.02399,0.228509,0.015432,0.021627,-1.164446,8e-05,9.8e-05,-453.8172,4e-06,5e-06,-0.133827,3e-06,4e-06,0.0
scenario_00093,1,1,pipe-1,0.014675,0.017971,0.218618,0.00555,0.011716,0.990452,0.089015,0.16858,0.517221,0.090023,0.169844,0.552352,1.6e-05,1.8e-05,0.956925,1.8e-05,3.3e-05,-6288.832031,1.8e-05,3.4e-05,-2.362508
scenario_00094,1,1,pipe-1,0.015555,0.019053,0.870071,0.012325,0.017724,0.995273,0.483937,0.636859,0.553476,0.294569,0.348017,0.353345,9e-06,1.1e-05,0.995735,9.4e-05,0.000121,-0.191873,5.9e-05,7e-05,-13.747861
scenario_00095,1,1,pipe-1,0.015302,0.018743,0.807958,0.012889,0.018688,0.989735,0.427731,0.550322,0.614856,0.305017,0.365149,0.171966,1.2e-05,1.3e-05,0.987416,8.4e-05,0.000106,-0.042312,6.2e-05,7.3e-05,-4.633986
scenario_00096,1,1,pipe-1,0.016243,0.019911,0.964646,0.024454,0.041182,0.992361,0.430751,0.531932,0.712252,0.301544,0.347786,0.794236,1.7e-05,2.4e-05,0.992961,8.4e-05,0.000104,0.150625,6.2e-05,7.1e-05,-0.600225
scenario_00099,1,1,pipe-1,0.014657,0.017951,-4.019227,0.00176,0.003473,0.841379,0.014046,0.015832,-0.192851,0.016236,0.022886,-4.257492,1.1e-05,1.4e-05,-106.091141,3e-06,3e-06,-4.563749,3e-06,4e-06,0.0
scenario_00097,1,1,pipe-1,0.01465,0.017943,-2.007397,0.001727,0.003303,0.970212,0.011574,0.017699,0.779062,0.014853,0.023626,-0.115976,1.2e-05,1.4e-05,-0.05718,3e-06,4e-06,0.237606,3e-06,5e-06,0.0
scenario_00098,1,1,pipe-1,0.015233,0.018651,0.995801,0.101197,0.181804,0.984313,0.557078,0.916736,0.826155,0.791681,1.452858,0.874573,7.6e-05,0.000126,0.975525,8.8e-05,0.000146,-40.34037,0.000135,0.000235,0.493538
scenario_00100,1,1,pipe-1,0.015342,0.018792,0.838388,0.002028,0.003548,0.999427,0.14102,0.177875,0.791905,0.21987,0.25673,0.316173,1.4e-05,1.6e-05,0.968723,3e-05,3.7e-05,0.015978,4.6e-05,5.4e-05,-3.898201
scenario_00101,1,1,pipe-1,0.014657,0.017951,-1.83588,0.001707,0.003277,0.988405,0.021089,0.036957,0.459467,0.025835,0.047957,0.841743,1.1e-05,1.4e-05,0.419192,4e-06,8e-06,0.0,5e-06,1e-05,0.562634
scenario_00102,1,1,pipe-1,0.01533,0.018813,0.973695,0.01916,0.040682,0.992327,0.198612,0.247739,0.883404,0.216907,0.244067,0.77251,2e-05,3.1e-05,0.987559,3.9e-05,5e-05,0.001426,4.2e-05,4.9e-05,-1.738816
