scenario_id,group,true_pipe,sensor,mae,rmse,r2
scenario_00037,pipe-1,1,Q2a,3.5e-05,3.8e-05,0.5886
scenario_00037,pipe-1,1,Q4a,2e-05,4.4e-05,0.4758
scenario_00037,pipe-1,1,Q5a,1.2e-05,2.3e-05,0.0
scenario_00037,pipe-1,1,OVERALL,0.028551,,
scenario_00038,pipe-1,1,P2,0.043957,0.048236,0.8356
scenario_00038,pipe-1,1,P3,0.011647,0.023388,0.9983
scenario_00038,pipe-1,1,P5,1.225309,2.029988,0.6421
scenario_00038,pipe-1,1,P6,0.524209,0.801963,0.4633
scenario_00038,pipe-1,1,Q2a,3.1e-05,3.5e-05,0.9906
scenario_00038,pipe-1,1,Q4a,0.00019,0.000307,0.3043
scenario_00038,pipe-1,1,Q5a,0.000102,0.000155,-35.5192
scenario_00038,pipe-1,1,OVERALL,0.257921,,
scenario_00039,pipe-1,1,P2,0.042161,0.046196,-0.2959
scenario_00039,pipe-1,1,P3,0.002661,0.005402,0.9992
scenario_00039,pipe-1,1,P5,0.082894,0.138332,0.8937
scenario_00039,pipe-1,1,P6,0.058748,0.082842,0.9582
scenario_00039,pipe-1,1,Q2a,3.5e-05,3.8e-05,0.908
scenario_00039,pipe-1,1,Q4a,1.7e-05,2.9e-05,0.4958
scenario_00039,pipe-1,1,Q5a,1.3e-05,1.8e-05,0.6304
scenario_00039,pipe-1,1,OVERALL,0.026647,,
scenario_00040,pipe-1,1,P2,0.046224,0.050819,0.9285
scenario_00040,pipe-1,1,P3,0.024298,0.042299,0.9948
scenario_00040,pipe-1,1,P5,2.334327,2.792261,0.2528
scenario_00040,pipe-1,1,P6,0.951916,1.111784,0.0095
scenario_00040,pipe-1,1,Q2a,3.2e-05,3.6e-05,0.9884
scenario_00040,pipe-1,1,Q4a,0.000361,0.000424,-0.5936
scenario_00040,pipe-1,1,Q5a,0.000183,0.000215,0.0
scenario_00040,pipe-1,1,OVERALL,0.47962,,
scenario_00041,pipe-1,1,P2,0.043053,0.047214,0.7152
scenario_00041,pipe-1,1,P3,0.006182,0.011509,0.9993
scenario_00041,pipe-1,1,P5,0.147661,0.343777,0.82
